 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       3047701      124427864  [B (java.base@17.0.5)
   2:       3010041       96321312  java.util.HashMap$Node (java.base@17.0.5)
   3:       3046124       73106976  java.lang.String (java.base@17.0.5)
   4:       3000000       72000000  narif.poc.memoryleaks.model.BadPerson
   5:          4009       17124104  [Ljava.util.HashMap$Node; (java.base@17.0.5)
   6:          8368         993008  java.lang.Class (java.base@17.0.5)
   7:         23536         753152  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.5)
   8:          8126         434168  [Ljava.lang.Object; (java.base@17.0.5)
   9:          8490         339600  java.util.LinkedHashMap$Entry (java.base@17.0.5)
  10:          3673         336232  [I (java.base@17.0.5)
  11:          2928         257664  java.lang.reflect.Method (java.base@17.0.5)
  12:          4284         239904  java.util.LinkedHashMap (java.base@17.0.5)
  13:           267         235504  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.5)
  14:         10423         166768  java.lang.Object (java.base@17.0.5)
  15:          2512         120576  java.lang.invoke.MemberName (java.base@17.0.5)
  16:          2983         119320  java.lang.ref.SoftReference (java.base@17.0.5)
  17:           311          93344  [C (java.base@17.0.5)
  18:          3702          87624  [Ljava.lang.Class; (java.base@17.0.5)
  19:          2077          83080  java.lang.invoke.MethodType (java.base@17.0.5)
  20:          1985          79400  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.5)
  21:          2115          77040  [Ljava.lang.String; (java.base@17.0.5)
  22:          2870          68880  java.util.ArrayList (java.base@17.0.5)
  23:          2093          66976  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.5)
  24:          1388          66624  java.util.HashMap (java.base@17.0.5)
  25:           875          56000  java.util.concurrent.ConcurrentHashMap (java.base@17.0.5)
  26:          2229          53496  java.util.ImmutableCollections$List12 (java.base@17.0.5)
  27:           733          52776  java.lang.reflect.Constructor (java.base@17.0.5)
  28:          1049          50352  org.springframework.core.ResolvableType
  29:           232          44544  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  30:          1828          43872  java.lang.invoke.ResolvedMethodName (java.base@17.0.5)
  31:          1420          34080  jdk.jfr.AnnotationElement (jdk.jfr@17.0.5)
